ticker,name,wash_group,factor,beta,idio_vol,listing,sector,sector_beta
PFE,Pfizer,PFE,US_EQ,0.60,0.19,US,HEALTH,1.0
NKE,Nike,NKE,US_EQ,1.00,0.26,US,CONS,1.0
DIS,Walt Disney,DIS,US_EQ,1.10,0.23,US,COMM,1.0
XIU,iShares S&P/TSX 60 ETF,TSX60,CA_EQ,1.00,0.008,CA,,0.0
XIC,iShares Core S&P/TSX Capped Composite ETF,TSX_CAPPED,CA_EQ,1.00,0.006,CA,,0.0
ZCN,BMO S&P/TSX Capped Composite ETF,TSX_CAPPED,CA_EQ,1.00,0.006,CA,,0.0
VCN,Vanguard FTSE Canada All Cap ETF,CA_FTSE_ALLCAP,CA_EQ,1.00,0.009,CA,,0.0
VFV,Vanguard S&P 500 ETF (CAD),SP500,US_EQ,1.00,0.030,CA,,0.0
ZSP,BMO S&P 500 ETF (CAD),SP500,US_EQ,1.00,0.030,CA,,0.0
XUS,iShares Core S&P 500 ETF (CAD),SP500,US_EQ,1.00,0.030,CA,,0.0
VUN,Vanguard US Total Market ETF (CAD),US_TOTAL_CRSP,US_EQ,1.02,0.032,CA,,0.0
XUU,iShares Core S&P US Total Market ETF (CAD),US_TOTAL_SP,US_EQ,1.02,0.032,CA,,0.0
XEF,iShares Core MSCI EAFE IMI ETF,DEV_MSCI_IMI,INTL_EQ,1.00,0.012,CA,,0.0
VIU,Vanguard FTSE Developed All Cap ex North America ETF,DEV_FTSE_XNA,INTL_EQ,1.00,0.012,CA,,0.0
ZAG,BMO Aggregate Bond Index ETF,CA_UNIVERSE_FTSE,BOND,1.00,0.008,CA,,0.0
VAB,Vanguard Canadian Aggregate Bond ETF,CA_AGG_BB,BOND,1.00,0.008,CA,,0.0
XBB,iShares Core Canadian Universe Bond ETF,CA_UNIVERSE_FTSE,BOND,1.00,0.008,CA,,0.0
RY,Royal Bank of Canada,RY,CA_EQ,0.95,0.13,CA,CA_BANKS,1.0
TD,Toronto-Dominion Bank,TD,CA_EQ,0.95,0.16,CA,CA_BANKS,1.0
BNS,Bank of Nova Scotia,BNS,CA_EQ,0.95,0.16,CA,CA_BANKS,1.0
ENB,Enbridge,ENB,CA_EQ,0.75,0.15,CA,CA_ENERGY,0.6
CNQ,Canadian Natural Resources,CNQ,CA_EQ,1.10,0.22,CA,CA_ENERGY,1.0
SHOP,Shopify,SHOP,CA_EQ,1.60,0.48,CA,TECH,1.0
BCE,BCE,BCE,CA_EQ,0.60,0.20,CA,,0.0
XLV,Health Care Select Sector SPDR,US_HEALTH_SPDR,US_EQ,0.75,0.02,US,HEALTH,1.0
XLE,Energy Select Sector SPDR,US_ENERGY_SPDR,US_EQ,0.85,0.02,US,ENERGY,1.0
XLY,Consumer Discretionary Select Sector SPDR,US_CONSDISC_SPDR,US_EQ,1.15,0.02,US,CONS,1.0
XLF,Financial Select Sector SPDR,US_FIN_SPDR,US_EQ,1.05,0.02,US,FIN,1.0
XLC,Communication Services Select Sector SPDR,US_COMM_SPDR,US_EQ,1.0,0.02,US,COMM,1.0
ZEB,BMO Equal Weight Banks Index ETF,CA_BANKS_EW,CA_EQ,0.95,0.02,CA,CA_BANKS,1.0
XEG,iShares S&P/TSX Capped Energy Index ETF,CA_ENERGY_TSX,CA_EQ,1.05,0.02,CA,CA_ENERGY,1.0
